iter	Passed	Remaining
859	12626	2055
860	12640	2040
861	12654	2025
862	12669	2011
863	12683	1996
864	12698	1981
865	12711	1966
866	12725	1952
867	12740	1937
868	12755	1922
869	12769	1908
870	12783	1893
871	12797	1878
872	12812	1863
873	12826	1849
874	12841	1834
875	12855	1819
876	12870	1805
877	12884	1790
878	12899	1775
879	12914	1761
880	12928	1746
881	12943	1731
882	12958	1716
883	12972	1702
884	12986	1687
885	13000	1672
886	13014	1657
887	13028	1643
888	13043	1628
889	13058	1613
890	13073	1599
891	13087	1584
892	13102	1569
893	13116	1555
894	13130	1540
895	13146	1525
896	13161	1511
897	13175	1496
898	13189	1481
899	13204	1467
900	13219	1452
901	13234	1437
902	13248	1423
903	13262	1408
904	13276	1393
905	13289	1378
906	13304	1364
907	13319	1349
908	13333	1334
909	13348	1320
910	13361	1305
911	13375	1290
912	13390	1276
913	13405	1261
914	13419	1246
915	13435	1232
916	13450	1217
917	13464	1202
918	13479	1188
919	13493	1173
920	13508	1158
921	13523	1144
922	13538	1129
923	13552	1114
924	13567	1100
925	13581	1085
926	13596	1070
927	13610	1055
928	13624	1041
929	13639	1026
930	13653	1011
931	13667	997
932	13682	982
933	13697	967
934	13711	953
935	13726	938
936	13741	923
937	13755	909
938	13769	894
939	13784	879
940	13799	865
941	13814	850
942	13828	835
943	13843	821
944	13857	806
945	13872	791
946	13886	777
947	13900	762
948	13914	747
949	13930	733
950	13944	718
951	13959	703
952	13973	689
953	13987	674
954	14002	659
955	14017	645
956	14031	630
957	14045	615
958	14060	601
959	14074	586
960	14089	571
961	14104	557
962	14118	542
963	14133	527
964	14148	513
965	14161	498
966	14175	483
967	14190	469
968	14204	454
969	14218	439
970	14234	425
971	14249	410
972	14264	395
973	14278	381
974	14293	366
975	14308	351
976	14322	337
977	14337	322
978	14352	307
979	14366	293
980	14381	278
981	14396	263
982	14410	249
983	14424	234
984	14439	219
985	14453	205
986	14468	190
987	14482	175
988	14496	161
989	14511	146
990	14525	131
991	14540	117
992	14553	102
993	14568	87
994	14583	73
995	14597	58
996	14612	43
997	14626	29
998	14641	14
999	14655	0
