iter	Passed	Remaining
1516	3406	41508
1517	3408	41502
1518	3410	41496
1519	3412	41491
1520	3415	41493
1521	3417	41489
1522	3419	41484
1523	3421	41479
1524	3423	41477
1525	3425	41471
1526	3427	41467
1527	3429	41461
1528	3431	41456
1529	3434	41462
1530	3437	41473
1531	3440	41477
1532	3443	41484
1533	3445	41479
1534	3447	41473
1535	3449	41467
1536	3451	41463
1537	3453	41458
1538	3455	41453
1539	3457	41447
1540	3459	41442
1541	3462	41443
1542	3464	41437
1543	3466	41432
1544	3468	41426
1545	3470	41421
1546	3472	41417
1547	3474	41412
1548	3476	41405
1549	3478	41400
1550	3480	41395
1551	3482	41390
1552	3483	41383
1553	3485	41376
1554	3487	41373
1555	3490	41371
1556	3492	41364
1557	3494	41358
1558	3495	41352
1559	3498	41348
1560	3500	41346
1561	3502	41339
1562	3504	41333
1563	3506	41329
1564	3508	41328
1565	3510	41322
1566	3512	41316
1567	3514	41310
1568	3516	41304
1569	3518	41305
1570	3520	41301
1571	3522	41295
1572	3524	41293
1573	3528	41300
1574	3530	41295
1575	3532	41290
1576	3534	41285
1577	3536	41285
1578	3538	41280
1579	3540	41276
1580	3542	41269
1581	3544	41265
1582	3546	41263
1583	3548	41257
1584	3550	41251
1585	3552	41248
1586	3555	41248
1587	3557	41243
1588	3559	41239
1589	3561	41232
1590	3563	41226
1591	3565	41225
1592	3567	41221
1593	3569	41215
1594	3571	41210
1595	3573	41210
1596	3575	41205
1597	3577	41199
1598	3579	41192
1599	3582	41195
1600	3584	41191
1601	3586	41185
1602	3588	41180
1603	3590	41174
1604	3592	41172
1605	3594	41167
1606	3596	41162
1607	3598	41158
1608	3600	41153
1609	3602	41152
1610	3604	41147
1611	3606	41141
1612	3608	41136
1613	3611	41137
1614	3613	41141
1615	3615	41136
1616	3617	41130
1617	3620	41129
1618	3622	41125
1619	3624	41119
1620	3626	41112
1621	3627	41106
1622	3630	41109
1623	3632	41103
1624	3634	41097
1625	3636	41091
1626	3638	41089
1627	3640	41086
1628	3642	41080
1629	3644	41073
1630	3646	41068
1631	3648	41067
1632	3650	41063
1633	3652	41056
1634	3654	41050
1635	3656	41044
1636	3658	41043
1637	3660	41037
1638	3662	41034
1639	3665	41030
