name,price,manufacturer
"Acer Nitro RG241Y Pbiipx 23.8"" IPS Gaming Monitor for $169.99 w/ FS",$169.99,Newegg
"Asus VivoBook 15 F513 Laptop: i5-1135G7, 15.6"" 1080p, 16GB DDR4, 256GB SSD",$500,Office Depot and OfficeMax
32GB (2x 16) Neo Forza FAYE DDR4 3600 Desktop RAM kit $100,$100,Newegg
"MSI GP66 Leopard 11UH-456 Gaming Laptop (i7-11800H, 16GB RAM, 1TB SSD, RTX 3080) for $1849 w/ FS after MIR","$1,849",Newegg
"27"" Sceptre E275B-QPT168 2560x1440 165Hz 1ms IPS FreeSync Monitor",$200,Amazon
"Lenovo Tab P11 Tablet 64GB/4GB for $189, 128GB/4GB for $209, 128GB/6GB for $279 - FS",,Lenovo
"ASUS ROG 13.4"" Touchscreen Gaming Laptop AMD Ryzen 9 16GB Memory NVIDIA RTX3050 Ti V4G Graphics 1TB SSD GV301QE-211.ZG13","$1,249.99",Best Buy
"8GB 6.8"" Kindle Paperwhite Kids w/ Cover (2021) + 1-Yr Amazon Kids+ Subscription",$120,Amazon
1000W Seasonic Focus GX-1000 80+ Gold Modular Power Supply @Neweg (AR) $117,$117,Newegg
1TB Sabrent Rocket NVMe 4.0 Gen4 SSD (w/HS) $150,$150,Amazon
1-Year Adobe Creative Cloud Photography Subscription (Email Delivery),$100,B&H Photo Video
4TB Crucial X6 SE Portable SSD $370,$370,Best Buy
2TB MSI SPATIUM m470 NVME SSD @Newegg (AR) $230,$230,Newegg
SanDisk Extreme 400GB microSD Card with Adapter. $49.99 Costco. Item: 4005050,$49.99,Costco Wholesale
Patriot Viper Steel 32GB (2 x16) $119,$119,Newegg
ASUS Blue Cave AC2600 Dual-Band Wireless Router @Newegg $65,$64.99,Newegg
"Lenovo Legion Slim 7 Gaming Laptop: Ryzen 7 5800H, 15.6"" FHD 165Hz, RTX 3060",$1200,eBay
"ASUS ROG Touch Laptop: Ryzen 9 5900HS, 13.4"" 120Hz, 1TB SSD, RTX 3050 Ti",$1250,eBay
CORSAIR MM350 PRO Premium Spill-Proof Cloth Gaming Mouse Pad Extended XL $20 Free Shipping/PIckup @ Bestbuy (MM300 for $15),$20,Best Buy
"ASUS ROG Zephyrus: 15.6"" QHD 165Hz, RTX 3070, Ryzen 9 5900HS, 16GB RAM, 1TB SSD",$1550,eBay
"(refurb) 27"" Acer Predator XB3 240Hz 1080p Gaming Monitor $200 + free s/h at Target",$200,Target
"SAMSUNG 980 PRO M.2 2280 2TB PCIe Gen 4.0 x4, NVMe 1.3c Samsung V-NAND Internal Solid State Drive (SSD) MZ-V8P2T0B/AM $296.99",$296.99,Newegg
Microsoft Surface Laptop Studio – 14.4” Touch Screen – Intel Core i5 -16GB Memory – 512GB SSD Platinum 9WI-00001 - $1499,"$1,499",Best Buy
"Office Depot: $800 Dell Inspiron 15 5515 Notebook, 15.6"" Screen, AMD Ryzen 7, 16GB Memory, 512GB Solid State Drive, Windows 11, I5515-A835SLV-PUS.",$800,Office Depot and OfficeMax
NETGEAR - Orbi RBK753S AX4200 WiFi 6 Mesh at Costco - $399.99,$399.99,Costco Wholesale
"Legion 5 Gen 6 Laptop: 17.3"" 1080p, Ryzen 7 5800H, 16GB RAM, 512GB SSD, RTX 3070",$1420,Lenovo
"MSI GL66 Gaming Laptop: 15.6""  Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB, 512GB SSD @Amazon Fast Free Delivery w PRIME  $1349.99","$1,349.99",Amazon
Western Digital 6TB WD Purple Surveillance Internal Hard Drive  - $140,$140,Amazon
"H&R Block 2021 Tax Software (Digital Download): Deluxe + State $15, Deluxe $5, Basic",Free,H & R Block
16GB (2x 8) G.SKILL Flare X Series DDR4 3200 CL14 Desktop RAM Kit @Newegg $94,$94,Newegg
Microsoft Sculpt Ergonomic Keyboard for Business (5KV-00001 ) - $54.99,$54.99,Amazon
Neo Forza MARS 32GB (2x16GB) 288-Pin DDR4 4400 RGB CL19 SDRAM Desktop Memory for $129.99 w/ FS,$129.99,Newegg
"GIGABYTE G24F 24"" 165Hz HDR FreeSync 1080P IPS Gaming Monitor for $159.99 w/ FS after MIR",,Newegg
"HP 15-ef1082nr 15.6"" Laptop Computer -Silver AMD Ryzen 3 3250U 2.6GHz Processor; 8GB DDR4-2400 RAM; 256GB Solid State Drive; AMD Radeon Graphics $299",$299,Micro Center
Canon imageCLASS MF242dw Multifunction Wireless Mobile-Ready Monochrome Laser Printer Walmart Local Pickup YMMV $99,$99,Walmart
eero 6 1 Router + 2 Add-Ons Dual-band Wi-Fi 6 - $181,$181,
"Acer ED270R Sbiipx 27"" Curved Full HD (1920 x 1080) 165Hz Monitor with AMD Radeon FreeSync Technology (Display Port & 2 x HDMI Ports) $192 - $192",$192,Walmart
Inspiron 15 Touchscreen - 1TB HD - 16GB RAM - 649.99 $649.99,$649.99,Costco Wholesale
LEVEN SSD 2TB 3D NAND TLC SATA III Internal Solid State Drive for $139.99 w/ FS,$139.99,Newegg
Apple Pencil (2nd Generation),$99,Amazon
2TB WD Black SN750 (w/HS) NVMe SSD @Newegg $207,$207,Newegg
H&R Block Deluxe 2021 Tax Software w efile (Windows/Mac) $9.95  or Deluxe + State $19.95,$9.95,
"2021 Apple iPad Pro 11"" 128GB for $699 and 256GB for $799.99",$799.99,Costco Wholesale
Amazon Basics Fiber Optic Cables 9.8 Feet (5 pack) $15.74,$15.74,Amazon
"Acer Chromebook 314 - CB314-1H-C66Z, 14"" HD Intel® Celeron® N4000 4GB LPDDR4 32GB Storage @Acer $180",$180,
"Lenovo Ideapad 3 Laptop: i5-1135G7, 15.6"" IPS Touchscreen, 12GB RAM, 256GB SSD",$450,Best Buy
"Lenovo Ideapad 3 Laptop: 15.6"" HD Touch Screen, Core i3-1115G4, 8GB RAM, 256GB SSD $350 + Free Curbside Pickup at Best Buy or FS",$350,Best Buy
"H&R Block 2021 Tax Software (Windows/Mac): Premium $30, Deluxe + State",$22,Newegg
"Acer 315 Chromebook Manufacturer Refurbished: Celeron N4020, 15.6"" 1080p IPS Touchscreen, 4GB RAM, 64GB eMMC $169.99",$169.99,
"ASUS ROG Strix XG438Q 43"" 4K 120Hz Backlit LED Gaming Monitor w/ Free ROG Gaming Mouse for $899.99 w/ FS",$899.99,Newegg
Seagate 16TB HDD Exos X16 7200 RPM 512e/4Kn SATA 6Gb/s 256MB Cache 3.5-Inch Enterprise Hard Drive (ST16000NM001G) $305.99,$305.99,Amazon
"HP ENVY 13.3"" Touchscreen Intel Evo Platform Laptop - 11th Gen Intel Core i7-1165G7 - 1080p - Windows 11 $799",$799,Costco Wholesale
"EPOMAKER SKYLOONG AK61 61 Keys Hot Swappable Programmable Mechanical Keyboard RGB PBT Keycaps, NKRO, IP6X Waterproof, Gateron Optical Blue, $37.5",$37.50,Amazon
"(refurb): TP-Link Archer A20 AC4000 Wireless Router $70, TP-Link Archer C5400X AC5400 Wireless Router $130 + free s/h at B&H Photo",$70,B&H Photo Video
"Costco Members: ASUS C424MA 14"" Chromebook: 1080p, N4020, 128GB Storage, 4GB RAM",$160,Costco Wholesale
New Micro Center Customers: Creality Ender 3 Pro 3D Printer,$100,Micro Center
Qnap TS-453D 4-Bay Diskless NAS @B&H $439,$439,B&H Photo Video
"MinisForum X500-5700G BareBone: Ryzen 7 5700G, 2xSODIMM, 1x M.2 2280 NVMe, 1x2242, 1x 2.5"", Dual 4K60Hz @ $669 + F/S",$669,Minisforum
"Microsoft Surface Pro 8: 13"" 2880x1920, i5-1135G7, 8GB RAM, 128GB SSD & More",$999 or Less,BuyDig
iClever GK15 Wireless Keyboard and Mouse Combo $13.49 + Free Shipping w/ Prime,$13.49,Amazon
"1TB PNY CS900 2.5"" SSD @Newegg $77",$77,Newegg
"Minisforum GK41 Mini PC: Celeron J4125, 8GB DDR4, 128GB PCIe SSD, HDMI 2.0/DP 1.2 (Dual 4K@60Hz), Win10Pro @ $249 + F/S",$249,Minisforum
Bitdefender Bit Defender End of Life Deal $9.98 for 1 year/5 PC,$9.98,BitDefender
YMMV - ELGATO STREAM DECK MINI Target IN-STORE Clearance $39.99 Your Mileage May Vary,$39.99,Target
"GIGABYTE M32U 32"" (31.5"" Viewable) Gaming Monitor[/url] for $749.99 after $50 Promo Code PREXMAS + FS",$749.99,Newegg
"Lenovo LEGION 5i Pro 16"" Gaming Laptop - 11th Gen Intel Core i7-11800H GTX 3050 $999.99",$999.99,Costco Wholesale
"Seasonic FOCUS GX-850, 850W 80+ Gold, Full-Modular Power Supply $89.99",$89.99,Amazon
Team 64GB microSDXC UHS-I/U1 Class 10 Memory Card w/ Adapter (TUSDX64GUHS03) $6 + Free Shipping,$6,Newegg
"Legion 5 Gen 6 Laptop: 17.3"", AMD Ryzen 5 5600H, 8GB RAM, 256GB SSD, RTX 3060 + SD Cashback + Free S/H Gaming Laptop $1119.99","$1,119.99",Lenovo
4TB WD Red Plus NAS Hard Drive @Newegg $75,$75,Newegg
"Costco in-store Dell XPS 8940 Desktop i7-11700, 32GB RAM, RTX 3060Ti, 512GB SSD + 1TB HDD $1299.99 YMMV","$1,299.99",Costco Wholesale
Seasonic Focus PX-750 750W 80+ Platinum Full-Modular Power Supply,$75,Newegg
"GIGABYTE AERO 15 OLED YD[15.6"" UHD 4K AMOLED, i7 11800H, GeForce RTX 3080, 16GB RAM, 1TB SSD] Gaming Laptop for $1899 w/ FS after MIR $1898.98","$1,898.98",Newegg
Western Digital 1TB WD Blue SN570 NVMe $89.99,$89.99,Amazon
"Costco - MSI Katana 15.6"" Laptop - 11th Gen Intel Core i7-11800H - GeForce RTX 3060 - 1080p - 144Hz - $1099","$1,099",Costco Wholesale
"GIGABYTE G5 KC Gaming Laptop [15.6"" FHD IPS Anti-Glare 144Hz, Intel Core i5-10500H, GeForce RTX 3060, 16GB RAM, 512GB SSD] for $999 w/ FS after MIR",$999,Newegg
"MSI Stealth GS 66 Laptop GeForce RTX 3070,32 GB Mem, $1,799 ($700 off) $1799","$1,799",Costco Wholesale
$160 LEVEN Portable SSD 2TB Aluminum External Solid State Drive SSD $159.99,$159.99,Amazon
